Threshold,Accuracy,Precision,Recall,F1
0.1,0.975017487758569,0.9913327471423188,0.9775795862752384,0.9844081327179743
0.15000000000000002,0.975017487758569,0.9913327471423188,0.9775795862752384,0.9844081327179743
0.20000000000000004,0.9755171380033977,0.991955756661639,0.9775795862752384,0.9847152036933059
0.25000000000000006,0.9740181872689118,0.9940558998355887,0.9736157562244518,0.983729662077597
0.30000000000000004,0.9741181173178775,0.9943066801619433,0.9734918865353648,0.9837891969706453
0.3500000000000001,0.9741181173178775,0.9945569620253164,0.9732441471571907,0.9837851374193952
0.40000000000000013,0.9734186069751174,0.9948028901001394,0.9721293199554069,0.9833354216263626
0.4500000000000001,0.9718197261916658,0.9950438429279451,0.9698996655518395,0.9823108769288671
0.5000000000000001,0.9718197261916658,0.9950438429279451,0.9698996655518395,0.9823108769288671
0.5500000000000002,0.9717197961427001,0.9950432130147433,0.9697757958627524,0.9822470359450474
0.6000000000000002,0.9717197961427001,0.9950432130147433,0.9697757958627524,0.9822470359450474
0.6500000000000001,0.9716198660937344,0.995294416889228,0.9694041867954911,0.9821787148594378
0.7000000000000002,0.9683221744778655,0.9962887125671871,0.9643255295429208,0.9800465789639328
0.7500000000000002,0.9678225242330368,0.9962863362786528,0.9637061810974854,0.9797254753809344
0.8000000000000003,0.9659238533026882,0.9964047252182845,0.9612287873157438,0.978500725048862
0.8500000000000003,0.9650244828619966,0.9964005656254017,0.9601139601139601,0.9779207670956346
0.9000000000000002,0.9640251823723394,0.9963959325524521,0.9588752632230894,0.9772755965155915
