Threshold,Accuracy,Precision,Recall,F1
0.1,0.9619266513440592,0.9689100219458668,0.9843924191750278,0.976589861751152
0.15000000000000002,0.9729189567302888,0.9859242650722472,0.9804285891242412,0.9831687472827775
0.20000000000000004,0.9751174178075347,0.9901027311450764,0.9789421528551964,0.9844908128308938
0.25000000000000006,0.9759168581992606,0.9918362220547601,0.9781989347206739,0.984970377299657
0.30000000000000004,0.9761167182971919,0.9927044025157232,0.9775795862752384,0.9850839418336141
0.3500000000000001,0.9759168581992606,0.9930747922437673,0.976960237829803,0.9849516078676241
0.40000000000000013,0.9759168581992606,0.9934475806451613,0.9765886287625418,0.9849459678930601
0.4500000000000001,0.9757169981013291,0.9938193743693239,0.9759692803171064,0.9848134491594276
0.5000000000000001,0.9756170680523634,0.9943174643263039,0.975349931871671,0.9847423711855928
0.5500000000000002,0.9751174178075347,0.9944388270980788,0.9746067137371485,0.9844228964654363
0.6000000000000002,0.9746177675627061,0.9946855624446412,0.9737396259135389,0.9841011517275914
0.6500000000000001,0.9739182572199461,0.994931576279777,0.9726247987117552,0.9836517381772628
0.7000000000000002,0.9735185370240832,0.9956830878618588,0.9713861018208845,0.9833845382155622
0.7500000000000002,0.9726191665833916,0.9961827204478941,0.9697757958627524,0.9828019081094652
0.8000000000000003,0.9717197961427001,0.9968112244897959,0.9680416202155333,0.9822157984038208
0.8500000000000003,0.9696212651144199,0.9969297684533709,0.9653164870556175,0.9808684707363121
0.9000000000000002,0.9654242030578595,0.9975531229877657,0.9594946116685247,0.9781538072989013
