Threshold,Accuracy,Precision,Recall,F1
0.1,0.954032177475767,0.9648308706801807,0.9786944134770221,0.9717131964088058
0.15000000000000002,0.9694214050164884,0.9873258878152842,0.9746067137371485,0.9809250716868221
0.20000000000000004,0.9702208454082143,0.9888092543694204,0.9741112349808002,0.9814052165231499
0.25000000000000006,0.97032077545718,0.9900428535417192,0.9729964077790165,0.9814456175423253
0.30000000000000004,0.9702208454082143,0.9906601034961504,0.972253189644494,0.9813703425856464
0.3500000000000001,0.9705206355551115,0.9912834765032845,0.9720054502663198,0.981549815498155
0.40000000000000013,0.9705206355551115,0.9917804754678806,0.9715099715099715,0.9815405794380827
0.4500000000000001,0.9702208454082143,0.9922755476763327,0.970642883686362,0.9813400125234816
0.5000000000000001,0.9701209153592485,0.9927738336713996,0.9700235352409265,0.9812668379174238
0.5500000000000002,0.9697211951633856,0.9931454683929931,0.969156447417317,0.981004325747602
0.6000000000000002,0.9693214749675227,0.9937690742624619,0.9680416202155333,0.9807366505615862
0.6500000000000001,0.9689217547716599,0.9943949044585987,0.9669267930137495,0.9804685046787666
0.7000000000000002,0.9665234335964825,0.9948836019442313,0.9634584417193113,0.9789188849034044
0.7500000000000002,0.9607274907564705,0.9953560371517027,0.9557785209959123,0.9751658767772512
0.8000000000000003,0.9491356050764465,0.9971083070452156,0.9396754614145918,0.9675403354377909
0.8500000000000003,0.900069951034276,0.9981687561628398,0.8777406168710516,0.9340891115212233
0.9000000000000002,0.7256920155890877,0.9990633195953541,0.6605970519013997,0.7953172768622773
