Threshold,Accuracy,Precision,Recall,F1
0.1,0.9269511342060558,0.9254751970329161,0.9890994673603369,0.9562301658583319
0.15000000000000002,0.9627260917357849,0.9715825575698187,0.9825343738387217,0.9770277760670074
0.20000000000000004,0.9719196562406316,0.9846976859915402,0.9804285891242412,0.982558500403451
0.25000000000000006,0.9731188168282202,0.9886050588529928,0.9779511953424996,0.9832492683230587
0.30000000000000004,0.975017487758569,0.9910860012554927,0.9778273256534126,0.9844120214490585
0.3500000000000001,0.9755171380033977,0.991955756661639,0.9775795862752384,0.9847152036933059
0.40000000000000013,0.9756170680523634,0.9925758147728703,0.9770841075188901,0.984769038701623
0.4500000000000001,0.9756170680523634,0.9929479914368468,0.9767124984516289,0.9847633320844261
0.5000000000000001,0.9754172079544319,0.9930704296333628,0.9763408893843677,0.984634603372892
0.5500000000000002,0.9747176976116718,0.993188698284561,0.975349931871671,0.9841884882194862
0.6000000000000002,0.9744179074647746,0.9934351723267264,0.9747305834262356,0.983993997749156
0.6500000000000001,0.9736184670730489,0.9936780882538879,0.9734918865353648,0.9834814165936678
0.7000000000000002,0.9735185370240832,0.994302355026589,0.9727486684008423,0.9834074259595517
0.7500000000000002,0.9736184670730489,0.9948042073248005,0.9723770593335811,0.9834627912803808
0.8000000000000003,0.973218746877186,0.9950526449321324,0.9716338411990586,0.9832038104788168
0.8500000000000003,0.9720195862895973,0.9955487727330535,0.9696519261736654,0.982429718875502
0.9000000000000002,0.9702208454082143,0.9962977147963743,0.9666790536355754,0.9812649314724003
